field_path,source_entity,exists_in_mapping,gdc_type,gdc_description,n_cases,n_available,n_missing,pct_missing,n_usable,value_kind,numeric_min,numeric_max,n_negative_values,n_zero_values,n_distinct,distinct_values,n_cases_with_multiple_nonnull,n_cases_with_disagreeing_values,n_nested_records_observed,n_gdc_missing_code_records
demographic.days_to_death,demographic,True,long,Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.,2492,742,1750,70.22,742,numeric,1.0,3243.0,0,0,,,0,0,1462,0
demographic.age_at_index,demographic,True,long,The patient's age (in years) on the reference or anchor date used during date obfuscation.,2492,2151,341,13.68,2151,numeric,0.0,29.0,0,170,,,0,0,2170,0
demographic.days_to_birth,demographic,True,long,Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.,2492,2151,341,13.68,2151,numeric,-10898.0,-3.0,2151,0,,,0,0,2170,0
demographic.sex_at_birth,demographic,True,keyword,A textual description of a person's sex at birth.,2492,2189,303,12.16,2158,categorical,,,,,3,male (n=1136) | female (n=1022) | unknown (n=31),0,0,2189,31
demographic.gender,demographic,False,,,2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
demographic.race,demographic,True,keyword,"An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",2492,2189,303,12.16,1943,categorical,,,,,8,white (n=1551) | black or african american (n=251) | Unknown (n=216) | asian (n=97) | not reported (n=30) | other (n=22) | american indian or alaska native (n=13) | native hawaiian or other pacific islander (n=9),0,0,2189,246
demographic.ethnicity,demographic,True,keyword,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",2492,2189,303,12.16,2078,categorical,,,,,4,not hispanic or latino (n=1693) | hispanic or latino (n=385) | Unknown (n=81) | not reported (n=30),0,0,2189,111
demographic.year_of_birth,demographic,True,long,Numeric value to represent the calendar year in which an individual was born.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1098,0
demographic.year_of_death,demographic,True,long,Numeric value to represent the year of the death of an individual.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1098,0
demographic.cause_of_death,demographic,True,keyword,Text term to identify the cause of death for a patient.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1098,0
demographic.age_is_obfuscated,demographic,True,keyword,The age or other properties related to the patient's age have been modified for compliance reasons. The actual age may differ from what was reported in order to comply with the Health Insurance Portability and Accountability Act (HIPAA).,2492,2181,311,12.48,2181,categorical,,,,,1,False (n=2181),0,0,2181,0
diagnoses.diagnosis_id,diagnosis,True,keyword,,2492,2189,303,12.16,2189,categorical,,,,,2189,e409b974-60f7-5556-8e06-158510693582 (n=1) | f45a8e7a-92d5-5206-9523-b0b66ed1b744 (n=1) | 95a5b1a0-7614-582c-88ff-273b7b7212d0 (n=1) | 7a1d77a5-0abe-583e-93bf-52cf8609d15a (n=1) | b38ed9de-dda2-53ca-a067-2f78466c4161 (n=1) | f5f995f9-991c-523a-b65e-06bb16905f99 (n=1) | fbea61bb-c7ee-5fde-999d-ff49874bf2a0 (n=1) | 64fe9e0e-6977-58af-a162-1a11b296f261 (n=1) | 8f8c1b21-e34c-55da-938a-1dbb61ffcc31 (n=1) | bbb780c6-1396-55d7-8105-724462922e00 (n=1) | 965cbbcd-f0dc-59ad-8375-ee3c7e8fbb9b (n=1) | e520c36b-7ca0-55d5-9461-f1fef95d8fc6 (n=1) | bc6ba708-6650-5fde-8c5a-fc60c8a01af2 (n=1) | d6d463ff-14e6-5237-9855-4f5541683b79 (n=1) | 795a9907-3d06-52a1-94d2-54b91ba282b3 (n=1) | 4aeaff93-57e4-580c-8e14-002699218ffa (n=1) | 8aa74689-b7ff-5203-bf47-390a286b8ce1 (n=1) | cb1866e8-7c45-5978-b2bc-4392d018c531 (n=1) | 30fea593-a9b7-5c2c-ac35-50bd07a8e25f (n=1) | c05a09bb-af0a-59b2-a537-073bdbfa78c5 (n=1) | c4a4c8ce-9f8a-536f-8473-f5dfcb008b3c (n=1) | 65ff7fac-8b5c-5135-907e-3477b5b180e3 (n=1) | 51369566-3952-53f4-a88a-a458891cac44 (n=1) | d9c1eb2b-0f46-5c03-9f14-a0baef096a62 (n=1) | 504c176a-ff80-5726-98f6-2099b05c662b (n=1) | bd5969d9-4d9d-5d8a-9c9b-29753594fb05 (n=1) | dc5bde49-1c4f-51f0-b919-cd772492c11a (n=1) | 58573143-b072-591b-8e95-117597e70050 (n=1) | a98f8347-2552-5b10-a638-02f85f4f3c3d (n=1) | 8b381ad8-b6fd-5cee-bc12-810d8faba0e9 (n=1) | 150e7171-2047-5009-816d-cdbf3df66df3 (n=1) | ffa9f7ac-1728-5455-93fb-070d5cccb3c7 (n=1) | 0d4e85f4-9761-5c53-8aa1-e4b646785ab5 (n=1) | 68a5f673-e6c1-5fda-a5fe-7d4944214796 (n=1) | a1b32f51-b6c9-5450-ab2e-fd05afbd11e1 (n=1) | 53398103-26a3-591f-ab9d-28980ea59245 (n=1) | 8e4c3a93-8d07-5c73-ac13-5a903b560571 (n=1) | 425f1222-f995-5d58-9434-4361f854f7de (n=1) | 88509f48-9b1d-55fc-abdd-5ae950a6732c (n=1) | 6d3ae8cd-c940-5e3b-b493-7d5d39a84d1d (n=1),0,0,2189,0
diagnoses.age_at_diagnosis,diagnosis,True,long,Age at the time of diagnosis expressed in number of days since birth.,2492,2158,334,13.4,2158,numeric,3.0,10898.0,0,0,,,0,0,2189,0
diagnoses.days_to_diagnosis,diagnosis,True,long,Number of days between the date used for index and the date the patient was diagnosed with the malignant disease.,2492,2181,311,12.48,2181,numeric,0.0,0.0,0,2181,,,0,0,2182,0
diagnoses.days_to_last_follow_up,diagnosis,True,double,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.",2492,2158,334,13.4,2158,numeric,1.0,4134.0,0,0,,,0,0,2189,0
diagnoses.primary_diagnosis,diagnosis,True,keyword,"Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",2492,2189,303,12.16,2189,categorical,,,,,1,"Acute myeloid leukemia, NOS (n=2189)",0,0,2189,0
diagnoses.morphology,diagnosis,True,keyword,"The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.",2492,2189,303,12.16,2189,categorical,,,,,1,9861/3 (n=2189),0,0,2189,0
diagnoses.fab_morphology_code,diagnosis,True,keyword,"A classification system for acute myeloid leukemias, acute lymphoblastic leukemias, and myelodysplastic syndromes. It is based on the morphologic and cytochemical evaluation of bone marrow and peripheral blood smears.",2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.tissue_or_organ_of_origin,diagnosis,True,keyword,"The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",2492,2189,303,12.16,2189,categorical,,,,,1,Bone marrow (n=2189),0,0,2189,0
diagnoses.site_of_resection_or_biopsy,diagnosis,True,keyword,"The text term used to describe the anatomic site of the resection or biopsy of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",2492,2189,303,12.16,141,categorical,,,,,3,Not Reported (n=2048) | Bone marrow (n=98) | Blood (n=43),0,0,2189,2048
diagnoses.year_of_diagnosis,diagnosis,True,long,Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.,2492,2155,337,13.52,2155,mixed,1996.0,2017.0,0,0,4,2008 (n=4) | 2009 (n=1) | 2007 (n=1) | 1998 (n=1),0,0,2189,0
diagnoses.icd_10_code,diagnosis,True,keyword,Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10).,2492,2181,311,12.48,2181,categorical,,,,,1,C92.0 (n=2181),0,0,2182,0
diagnoses.classification_of_tumor,diagnosis,True,keyword,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.,2492,2181,311,12.48,2181,categorical,,,,,1,primary (n=2181),0,0,2182,0
diagnoses.diagnosis_is_primary_disease,diagnosis,True,keyword,"Indicates whether this specific diagnosis represents the disease that was the primary focus of the study. Additionally, this diagnosis is reflected at the case level, which is captured using the case.disease_type property.",2492,2181,311,12.48,2181,categorical,,,,,1,True (n=2181),0,0,2181,0
diagnoses.last_known_disease_status,diagnosis,True,keyword,Text term that describes the last known state or condition of an individual's neoplasm.,2492,8,2484,99.68,0,categorical,,,,,1,not reported (n=8),0,0,2189,8
diagnoses.progression_or_recurrence,diagnosis,True,keyword,"Indicates whether a patient has a progression or recurrence after initial treatment. This can include local, regional, or metastatic disease.",2492,8,2484,99.68,0,categorical,,,,,1,not reported (n=8),0,0,2189,8
diagnoses.days_to_recurrence,diagnosis,True,double,Number of days between the date used for index and the date the patient's disease recurred.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,2189,0
diagnoses.tumor_grade,diagnosis,True,keyword,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.",2492,8,2484,99.68,0,categorical,,,,,1,Not Reported (n=8),0,0,2189,8
diagnoses.method_of_diagnosis,diagnosis,True,keyword,Text term used to describe the method used to confirm the patients malignant diagnosis.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
diagnoses.prior_malignancy,diagnosis,True,keyword,The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
diagnoses.prior_treatment,diagnosis,True,keyword,A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
diagnoses.synchronous_malignancy,diagnosis,True,keyword,"A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.",2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
diagnoses.residual_disease,diagnosis,True,keyword,Tumor cells that remain in the body following cancer treatment.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
diagnoses.eln_risk_classification,diagnosis,True,keyword,A recommended risk stratification system used to provide prognostic information in AML patients undergoing chemotherapy as well as allogeneic hematopoietic stem cell transplantation.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.calgb_risk_group,diagnosis,True,keyword,A classification strategy for Acute Myeloid Leukemia (AML) developed by the cancer research cooperative group Cancer And Leukemia Group B that assigns a rating based on the cytogenetic and molecular features of a particular disease.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.best_overall_response,diagnosis,True,keyword,The best improvement achieved throughout the entire course of protocol treatment.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
diagnoses.days_to_best_overall_response,diagnosis,True,long,Number of days between the date used for index and the date of the patient was thought to have the best overall response to their disease.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,1129,0
follow_ups.follow_up_id,follow_up,True,keyword,,2492,2151,341,13.68,2151,categorical,,,,,61746,3d59e547-3387-4957-a3e6-444e2b2ef06e (n=1) | 6f9bcb64-7e05-42fd-8fa5-93e8e968720e (n=1) | 9043fb34-d2e7-51ba-9f00-2dad611f604e (n=1) | e7843527-bfcc-51de-9600-2ae69d40a4b6 (n=1) | b5943d4d-3c84-5708-b8ef-f75d1208aa7e (n=1) | 5b973d54-f42b-53c2-b06a-280923fe8cd4 (n=1) | 92cad853-1c49-5bea-a19a-1fb76f1fb11f (n=1) | cd4580f7-6be9-571d-84eb-cd4c524cd0f2 (n=1) | 2d13229d-1637-5134-8998-e9dca370e7a3 (n=1) | 3422bd09-45b6-5793-a53c-d1860cf5c0ee (n=1) | 9ee6327b-e17c-596d-bd92-bfddaec049d3 (n=1) | 9cf4f0a8-a1cc-5da1-b6be-eaef68c53a0f (n=1) | e2f10f16-3cda-58a8-b8f4-5a9d34ca7c79 (n=1) | 40e29f48-82ae-53b8-b56e-a157298881a2 (n=1) | 2766740d-0a64-514b-b599-6ca115ac852e (n=1) | aa08a7e4-3766-5635-908d-660a208ac346 (n=1) | 2480ce1c-8e97-5cc4-b50f-576a60fe2bcd (n=1) | cccff0ba-3d68-532b-b0e9-e4810f5d343d (n=1) | 9e0dbabe-1157-5eab-9a3c-63cc02a00289 (n=1) | df598df6-50b9-55b5-8f80-63d8794f96b2 (n=1) | 89006886-0601-5ebf-b725-f0750578c738 (n=1) | 04e64897-41ab-5b29-9836-e4c453b4611d (n=1) | 5b2ec1b2-fdad-5320-b7c9-3865b42878a2 (n=1) | 973a93b1-546c-50c9-bffd-97fc5676de64 (n=1) | 14aaffb8-09fb-522b-b883-d1553f81b07a (n=1) | 4e5cf318-04ce-5e8c-bcd1-7104e19e7578 (n=1) | ba6996dd-4f67-5834-afda-262abb4d061b (n=1) | c251f762-7a80-5c18-8beb-5eec2628a549 (n=1) | 44d29645-346f-56c9-a0fe-0d14e8eb0949 (n=1) | ab9f901b-024d-53f0-bbf4-61edfc7b1f76 (n=1) | 8ee5823c-121a-5b13-ae33-7ed02e6cf9c3 (n=1) | 298b3717-92f3-4fae-9ce9-929daff9331e (n=1) | 6c4f2f9a-64de-48a4-be29-939d00fbf192 (n=1) | 46c3d449-3cd3-5b75-a682-c90a0a9a5fd4 (n=1) | d005bdf7-20fd-59d0-aeeb-337b6de89def (n=1) | 71afa106-f981-5f71-b0dc-e2a2e91cf7c8 (n=1) | 035f2110-4653-54de-99da-b379b4678f10 (n=1) | 5b9bfc42-55b2-5142-afe7-66cfb7a187f7 (n=1) | 8b63093d-6c0c-5e39-a62d-768682f5efac (n=1) | 5c98f245-dc78-50f8-82bf-c46732c3695a (n=1),2151,2151,61746,0
follow_ups.days_to_follow_up,follow_up,True,long,Number of days between the date used for index and the date of the patient's last follow-up appointment or contact.,2492,2151,341,13.68,2151,numeric,0.0,4134.0,0,156,,,2151,1029,4455,0
follow_ups.timepoint_category,follow_up,True,keyword,"Category describing a specific point in the time continuum, including those established relative to an event.",2492,2151,341,13.68,2151,categorical,,,,,2,Last Contact (n=2151) | Follow-up (n=2151),2151,2151,4302,0
follow_ups.first_event,follow_up,True,keyword,Describes the patient's first event after initial treatment.,2492,2151,341,13.68,2151,categorical,,,,,6,Censored (n=1039) | Relapse (n=764) | Induction Failure (n=187) | Death (n=111) | Death without Remission (n=47) | Second Malignant Neoplasm (n=3),0,0,2151,0
follow_ups.days_to_first_event,follow_up,True,long,The number of days from the index date to the date of the first event.,2492,2151,341,13.68,2151,numeric,0.0,4108.0,0,3,,,0,0,2151,0
follow_ups.year_of_follow_up,follow_up,True,long,The year of the patient's last follow-up appointment or contact.,2492,2151,341,13.68,2151,numeric,1997.0,2021.0,0,0,,,0,0,2151,0
follow_ups.disease_response,follow_up,True,keyword,Code assigned to describe the patient's response or outcome to the disease.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
follow_ups.progression_or_recurrence,follow_up,True,keyword,"Indicates whether a patient has a progression or recurrence after initial treatment. This can include local, regional, or metastatic disease.",2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.treatments.treatment_id,treatment,True,keyword,,2492,2151,341,13.68,2151,categorical,,,,,9477,14acf360-4ae2-441d-b566-89d96c9b881f (n=1) | 191c0973-1d2b-44ad-bbf0-53ceb548c7c5 (n=1) | 52efb1a2-f0d0-479d-aa50-e65df8f5bef6 (n=1) | 90950bde-d2f8-46d7-a61d-2b5a02ddbf41 (n=1) | b31f7186-0c8f-44c6-b94b-60b97e5fe548 (n=1) | 3a174dc7-771b-489a-ad2c-d3871237973d (n=1) | 8e01dcc9-12c8-4466-b5a1-69f575b36ef7 (n=1) | a4ac40f7-3702-44e7-9423-6c5667d3be64 (n=1) | aa55d052-56f7-4baf-b679-3364acd08400 (n=1) | f5919b84-bec1-4ca9-b62f-007b5536cf0d (n=1) | 10bfaf58-6965-4516-a9c5-71105fd5610c (n=1) | 370b44ba-2adb-4a62-b480-e954b5cc8efb (n=1) | c0150afa-4fdd-44f1-82d2-61c5418fa544 (n=1) | cfa82807-5df9-4dda-a860-cb12aec70de8 (n=1) | db2bdec3-117c-4d87-9893-62c18f275b7d (n=1) | 45e076f9-e0b2-4d75-ab3e-ae564b54617a (n=1) | 9885a10f-0ed6-4022-9300-1cb51be099eb (n=1) | 9bada929-d874-4131-a0e7-3df66939badd (n=1) | bfbd3eb5-6968-4ac5-a5f2-97bd1203de63 (n=1) | ea294eda-48ec-445e-9bb0-9eedcecc1c4a (n=1) | 03c4afed-dd98-445d-99b6-a9cb24d65250 (n=1) | 3b1c2c98-482e-474f-807c-d51b547503a2 (n=1) | 43608031-e6e7-4f75-a1d4-064944432516 (n=1) | 880125be-e512-49f5-86d2-60e7784854dc (n=1) | 8e799f73-4bb0-41aa-ba14-8c25a29aaa32 (n=1) | 015e3143-af65-4f05-88a7-c22d1e9c5690 (n=1) | 2890ae7d-69d1-4af3-9855-b71f4f496eba (n=1) | 4a1ef720-f865-429e-a056-c273da971da7 (n=1) | 803f0c2a-b541-40e5-b6a7-bec23d47b78b (n=1) | a304850a-44a0-4206-8ab9-f41cfc4f8761 (n=1) | 0ad7dc4b-25c7-4ba7-a4db-691471921df9 (n=1) | 7b0e8765-79f2-4bbc-a2fe-ee00b645e7d7 (n=1) | 89aedcb5-7c88-44ec-8b9e-592520f79047 (n=1) | b09403d3-2551-495e-89b2-e6b08616a6d5 (n=1) | de696766-97c8-4e57-a3fb-be76c2f6488e (n=1) | 037d2f51-401f-4e4a-be0b-3c45bea11be0 (n=1) | 383a8d23-f77c-40ee-a2b6-14bdfcaa676a (n=1) | 869bef83-f11b-436d-812a-4082f52a2dce (n=1) | a7d7cd31-28c1-41e8-b875-4a44c74aa10b (n=1) | e3f360f3-805d-4854-a5a7-a14840fcddf5 (n=1),2151,2151,9477,0
diagnoses.treatments.treatment_type,treatment,True,keyword,Text term that describes the type of treatment information available within this dataset. Note the value of this field may not be an indication that the treatment type was administered to this patient. Please reference the treatment_or_therapy property where it is indicated whether the patient received this treatment type.,2492,2151,341,13.68,2151,categorical,,,,,2,"Stem Cell Transplantation, NOS (n=2151) | Pharmaceutical Therapy, NOS (n=876)",876,876,3027,0
